nc_057526.1 rhipsalis teres chloroplast, complete genome
nc_053545.1 rhipsalis baccifera plastid, complete genome
nc_041256.1 physena sessiliflora voucher manjakahery & fidiar 394 (mo) plastid, complete genome
nc_041263.1 physena madagascariensis voucher yi14374 (kun) plastid, complete genome
nc_048975.1 mirabilis himalaica chloroplast, complete genome
nc_041297.1 mirabilis jalapa voucher 14cs9236 (kun) plastid, complete genome
nc_041280.1 mesembryanthemum cordifolium voucher 14cs9171 (kun) plastid, complete genome
nc_029049.1 mesembryanthemum crystallinum chloroplast, complete genome
nc_027669.1 haloxylon persicum chloroplast, complete genome
nc_027668.1 haloxylon ammodendron chloroplast, complete genome
nc_041278.1 frankenia pulverulenta voucher 14cs9282 (kun) plastid, complete genome
nc_041277.1 frankenia laevis voucher yi 14343 (kun) plastid, complete genome
nc_041262.1 cyathula capitata voucher p.h.5283 (kun) plastid, complete genome
nc_066401.1 cyathula officinalis chloroplast, complete genome
nc_041295.1 cistanthe grandiflora voucher yi14282 (kun) plastid, complete genome
nc_035140.1 cistanthe longiscapa chloroplast, complete genome
nc_041294.1 celosia argentea voucher 13cs6757(kun) plastid, complete genome
nc_045887.1 celosia cristata cultivar xiaguang chloroplast, complete genome
nc_041260.1 calandrinia granulifera voucher visoiu mv-0509 (tscc) plastid, complete genome
nc_041259.1 calandrinia eremaea voucher visoiu mv-0641 (tscc) plastid, complete genome
nc_082104.1 atriplex canescens chloroplast, complete genome
nc_085146.1 atriplex patens chloroplast, complete genome
nc_059062.1 atriplex gmelinii chloroplast, complete genome
nc_045304.1 atriplex centralasiatica chloroplast, complete genome
nc_084791.1 atriplex prostrata chloroplast, complete genome
nc_040947.1 achatocarpus pubescens voucher stevens 31699 (mo) plastid, complete genome
nc_040946.1 achatocarpus nigricans voucher stevens & montiel 31699 (mo) plastid, complete genome
nc_068874.1 triplaris americana voucher zhj20-011 chloroplast, complete genome
nc_069067.1 triphyophyllum peltatum plastid, complete genome
nc_064335.1 tephrocactus geometricus chloroplast, complete genome
nc_067593.1 stenocereus thurberi isolate dbg 1939-0076-21-2 chloroplast, complete genome
nc_002202.1 spinacia oleracea plastid, complete genome
nc_041240.1 spergula arvensis voucher scu-11-441(kun) plastid, complete genome
nc_040935.1 simmondsia chinensis voucher 14cs9341 (kun) plastid, complete genome
nc_087625.1 selenicereus megalanthus chloroplast, complete genome
nc_053698.1 selenicereus undatus chloroplast, complete genome
nc_041418.1 seguieria aculeata voucher e. zardini & u. velazquez 22101 (tex/ll) chloroplast, complete genome
nc_040932.1 sarcobatus vermiculatus voucher yi14379 (kun) plastid, complete genome
nc_068875.1 ruprechtia albida voucher 19693518 chloroplast, complete genome
nc_041300.1 rivina humilis voucher 14cs8082 (kun) plastid, complete genome
nc_040938.1 rhabdodendron amazonicum voucher 14cs8827 (kun) plastid, complete genome
nc_059800.1 reynoutria japonica chloroplast, complete genome
nc_041265.1 reaumuria trigyna voucher 14cs9309 (kun) plastid, complete genome
nc_065336.1 pyankovia brachiata chloroplast, complete genome
nc_046575.1 ptilotus polystachyus chloroplast, complete genome
nc_082272.1 pteroxygonum giraldii voucher sd635 chloroplast, complete genome
nc_068877.1 pteroxygonum denticulatum voucher zhj20-014 chloroplast, complete genome
nc_045947.1 psammosilene tunicoides voucher ygyn2015071101(ibsc) plastid, complete genome
nc_041272.1 pisonia aculeata voucher 14cs8967 (kun) plastid, complete genome
nc_041417.1 petiveria alliacea voucher l. c. majure 4132 (flas) chloroplast, complete genome
nc_062888.1 pereskia aculeata chloroplast, complete genome
nc_087612.1 paronychia canadensis chloroplast, complete genome
nc_066008.1 paronychia argentea isolate bptps024 voucher lise:96358 chloroplast, complete genome
nc_032031.1 oxyria sinensis chloroplast, complete genome
nc_082249.1 oxyria digyna voucher sd377 chloroplast, complete genome
nc_047226.1 oxybasis glauca chloroplast, complete genome
nc_041415.1 nyctaginia capitata voucher m. j. moore et al. 1237 (oc) chloroplast, complete genome
nc_041269.1 montia fontana voucher chase 18915 (k) plastid, complete genome
nc_041414.1 monococcus echinophorus voucher s. f. brockington s.n. chloroplast, complete genome
nc_041298.1 mollugo verticillata voucher 14cs8888 (kun) plastid, complete genome
nc_041268.1 microtea debilis voucher stevens & montiel 32001 (mo) plastid, complete genome
nc_040952.1 macarthuria keigheryi voucher dixon kwd1017 (k) plastid, complete genome
nc_064336.1 lophophora diffusa chloroplast, complete genome
nc_041727.1 lophocereus schottii chloroplast, complete genome
nc_040951.1 lophiocarpus tenuissimus voucher yi15008 (kun) plastid, complete genome
nc_040950.1 kewa sp. gy-2019 voucher am0049 (jrau) plastid, complete genome
nc_062599.1 kalidium foliatum chloroplast, complete genome
nc_041273.1 hololachna songarica voucher lizj1039 (kun) plastid, complete genome
nc_040949.1 halophytum ameghinoi voucher robert s.n. (mo) plastid, complete genome
nc_036812.1 gymnocarpos przewalskii chloroplast, complete genome
nc_069834.1 gomphrena globosa chloroplast, complete genome
nc_041296.1 gisekia pharnacioides voucher 14cs8741 (kun) plastid, complete genome
nc_040939.1 drosophyllum lusitanicum voucher chase 33141 (k) plastid, complete genome
nc_041276.1 dioncophyllum thollonii voucher bradley et al. 1107 (mo) plastid, complete genome
